Id,Q2,W,angle,tmin,tmax,target,a1,b1,a2,b2,a3,b3,a4,b4,lowe done?
36,8.5,2.79,right,0.4,1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,na
37,1.6,3.08,left,0.02,0.08,LD+,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,n
38,1.6,3.08,center,0.02,0.08,LD+,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,n
39,1.6,3.08,right,0.02,0.08,LD+,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,n
40,3.85,3.07,left,0.03,0.15,LD+,-0.2782467532467552,4.09649675324676,-0.1568181818181844,3.708687229437239,-0.16298701298701435,3.664930735930741,-0.2629870129870122,4.123906926406923,y
41,3.85,3.07,center,0.03,0.15,LD+,-0.2701890989988892,4.06779199110123,-0.15394883203559476,3.6991562847608432,-0.1647942157953267,3.672207823507594,-0.25756395995550624,4.100653874675566,y
42,3.85,3.07,right,0.03,0.15,LD+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YYYYYY
43,3.85,2.62,left,0.12,0.39,LD+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,n
44,3.85,2.62,center,0.12,0.39,LD+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,n
45,3.85,2.62,right,0.12,0.39,LD+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,n
46,6.0,2.4,left,0.4,1.0,LD+,-0.33928236397748657,4.358115853658539,-0.19319887429643628,3.6294329268292733,-0.22155253283302215,3.66495145403378,-0.3605300187617289,4.648757973733601,y
47,6.0,2.4,center,0.4,1.0,LD+,-0.3497067448680341,4.412070197947208,-0.19079912023460457,3.616163398093845,-0.2250733137829882,3.6878184567448473,-0.3463159824046909,4.556614736070373,y
48,6.0,2.4,right,0.4,1.0,LD+,-0.33934237881606477,4.355603457708732,-0.19373016741438076,3.6324335266440704,-0.22092132618448507,3.663111664295881,-0.37093773935879343,4.714943100995743,y
49,1.6,3.08,left,0.02,0.08,LD-,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,n
50,1.6,3.08,center,0.02,0.08,LD-,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,n
51,1.6,3.08,right,0.02,0.08,LD-,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,n
52,3.85,3.07,left,0.03,0.15,LD-,-0.2721739130434803,4.076442753623194,-0.15978260869565603,3.7191340579710275,-0.16934782608695456,3.6916909420289756,-0.2557608695652159,4.092661956521731,y
53,3.85,3.07,center,0.03,0.15,LD-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YYYYYY
54,3.85,3.07,right,0.03,0.15,LD-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YYYYYY
55,3.85,2.62,left,0.12,0.39,LD-,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,n
56,3.85,2.62,center,0.12,0.39,LD-,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,n
57,3.85,2.62,right,0.12,0.39,LD-,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,n
58,6.0,2.4,left,0.4,1.0,LD-,-0.35310208994419784,4.43176304847359,-0.19487908961593423,3.6378769559032875,-0.2196629828208788,3.652350640113806,-0.35165225954699775,4.590636557610251,y
59,6.0,2.4,center,0.4,1.0,LD-,-0.35731304985337214,4.4537064699413484,-0.1963892961876839,3.646993218475078,-0.22186583577712396,3.667206286656877,-0.3406341642228704,4.519824963343084,y
60,6.0,2.4,right,0.4,1.0,LD-,-0.2922771672771706,4.127718253968273,-0.20543345543345856,3.6902248677248863,-0.9104090354090295,7.987728937728901,-0.9033882783882714,7.945296092796048,y
